scenario_name,controller_name,seed,sim_duration,average_vehicle_queue_length,max_vehicle_queue_length,average_vehicle_waiting_time,max_vehicle_waiting_time,average_ped_waiting_time,max_ped_waiting_time,switch_count,shield_hold_min_hold,shield_hold_small_gain,shield_override_starvation,shield_override_demand
intersection_ped_heavy,adaptive_only,11,300.0,3.06,8,4.0,44.0,2.6,49.0,18,0,0,0,0
intersection_ped_heavy,adaptive_only,12,300.0,3.05,8,3.9,42.0,2.8,51.0,18,0,0,0,0
intersection_ped_heavy,adaptive_only,13,300.0,3.063,9,3.9,43.0,2.9,51.0,18,0,0,0,0
intersection_ped_heavy,adaptive_only,14,300.0,3.047,9,3.8,44.0,2.6,49.0,18,0,0,0,0
intersection_ped_heavy,adaptive_only,15,300.0,3.28,8,4.5,46.0,2.4,49.0,19,0,0,0,0
intersection_ped_heavy,adaptive_only,16,300.0,2.927,8,3.8,44.0,2.8,49.0,18,0,0,0,0
intersection_ped_heavy,adaptive_only,17,300.0,3.037,8,3.9,43.0,2.7,52.0,18,0,0,0,0
intersection_ped_heavy,adaptive_only,18,300.0,3.28,8,4.6,52.0,2.5,49.0,19,0,0,0,0
intersection_ped_heavy,adaptive_only,19,300.0,3.277,9,4.5,54.0,2.7,50.0,19,0,0,0,0
intersection_ped_heavy,adaptive_shield,0,300.0,3.237,9,4.5,47.0,2.3,49.0,18,1,0,17,0
intersection_ped_heavy,adaptive_shield,1,300.0,3.22,8,4.3,45.0,2.6,51.0,18,1,0,17,0
intersection_ped_heavy,adaptive_shield,2,300.0,2.95,7,3.9,47.0,2.6,52.0,18,1,0,17,0
intersection_ped_heavy,adaptive_shield,3,300.0,2.837,8,3.5,43.0,2.6,51.0,18,1,1,17,0
intersection_ped_heavy,adaptive_shield,4,300.0,2.823,8,3.6,43.0,2.6,51.0,18,2,0,17,0
intersection_ped_heavy,adaptive_shield,5,300.0,3.013,8,4.1,49.0,2.2,49.0,18,1,0,17,0
intersection_ped_heavy,adaptive_shield,6,300.0,3.257,9,4.6,47.0,2.6,51.0,18,1,0,17,0
intersection_ped_heavy,adaptive_shield,7,300.0,2.843,8,3.7,48.0,2.4,51.0,18,1,0,17,0
intersection_ped_heavy,adaptive_shield,8,300.0,2.927,8,3.7,43.0,2.5,50.0,18,1,0,17,0
intersection_ped_heavy,adaptive_shield,9,300.0,2.783,7,3.6,45.0,2.8,50.0,18,1,0,17,0
intersection_ped_heavy,adaptive_shield,10,300.0,3.137,9,4.3,47.0,2.5,51.0,18,1,0,17,0
intersection_ped_heavy,adaptive_shield,11,300.0,2.85,7,3.8,47.0,2.4,47.0,18,1,0,17,0
intersection_ped_heavy,adaptive_shield,12,300.0,3.18,8,4.2,47.0,2.4,49.0,18,1,1,17,0
intersection_ped_heavy,adaptive_shield,13,300.0,2.71,7,3.6,44.0,2.4,49.0,18,1,0,17,0
intersection_ped_heavy,adaptive_shield,14,300.0,3.003,8,4.0,49.0,2.4,50.0,18,1,1,17,0
intersection_ped_heavy,adaptive_shield,15,300.0,3.007,9,4.2,47.0,2.5,51.0,18,1,0,17,0
intersection_ped_heavy,adaptive_shield,16,300.0,3.147,9,4.3,47.0,2.7,50.0,18,1,0,17,0
intersection_ped_heavy,adaptive_shield,17,300.0,2.853,7,3.8,46.0,2.4,48.0,18,1,0,17,0
intersection_ped_heavy,adaptive_shield,18,300.0,2.757,7,3.4,43.0,2.8,50.0,18,1,1,17,0
intersection_ped_heavy,adaptive_shield,19,300.0,2.84,8,3.6,44.0,2.7,51.0,18,2,0,17,0
intersection_vehicle_heavy,fixed_time,0,300.0,12.77,31,8.4,68.0,6.3,85.0,11,0,0,0,0
intersection_vehicle_heavy,fixed_time,1,300.0,12.91,31,8.4,68.0,6.3,83.0,11,0,0,0,0
intersection_vehicle_heavy,fixed_time,2,300.0,12.75,31,8.2,69.0,6.1,82.0,11,0,0,0,0
intersection_vehicle_heavy,fixed_time,3,300.0,11.84,31,7.6,68.0,6.4,82.0,11,0,0,0,0
intersection_vehicle_heavy,fixed_time,4,300.0,12.187,31,7.8,68.0,6.3,81.0,11,0,0,0,0
intersection_vehicle_heavy,fixed_time,5,300.0,12.377,30,7.9,69.0,6.2,86.0,11,0,0,0,0
intersection_vehicle_heavy,fixed_time,6,300.0,11.747,30,7.5,67.0,6.4,80.0,11,0,0,0,0
intersection_vehicle_heavy,fixed_time,7,300.0,12.877,32,8.3,69.0,6.4,82.0,11,0,0,0,0
intersection_vehicle_heavy,fixed_time,8,300.0,11.877,30,7.7,68.0,5.9,83.0,11,0,0,0,0
intersection_vehicle_heavy,fixed_time,9,300.0,12.043,29,7.8,68.0,6.2,82.0,11,0,0,0,0
intersection_vehicle_heavy,fixed_time,10,300.0,12.503,30,8.1,67.0,6.6,83.0,11,0,0,0,0
intersection_vehicle_heavy,fixed_time,11,300.0,11.787,31,7.4,68.0,6.3,82.0,11,0,0,0,0
intersection_vehicle_heavy,fixed_time,12,300.0,12.04,30,7.8,68.0,6.2,83.0,11,0,0,0,0
intersection_vehicle_heavy,fixed_time,13,300.0,11.82,30,7.6,68.0,6.3,85.0,11,0,0,0,0
intersection_vehicle_heavy,fixed_time,14,300.0,12.263,30,7.9,69.0,6.5,81.0,11,0,0,0,0
intersection_vehicle_heavy,fixed_time,15,300.0,11.933,30,7.6,67.0,5.9,79.0,11,0,0,0,0
intersection_vehicle_heavy,fixed_time,16,300.0,12.397,32,8.1,68.0,6.4,85.0,11,0,0,0,0
intersection_vehicle_heavy,fixed_time,17,300.0,12.343,30,8.0,68.0,6.3,83.0,11,0,0,0,0
intersection_vehicle_heavy,fixed_time,18,300.0,12.377,32,8.1,69.0,6.4,84.0,11,0,0,0,0
intersection_vehicle_heavy,fixed_time,19,300.0,12.16,30,7.8,68.0,6.6,83.0,11,0,0,0,0
intersection_vehicle_heavy,actuated,0,300.0,14.06,31,6.4,46.0,2.1,46.0,19,0,0,0,0
intersection_vehicle_heavy,actuated,1,300.0,14.177,32,6.4,44.0,2.4,50.0,19,0,0,0,0
intersection_vehicle_heavy,actuated,2,300.0,13.903,31,6.3,46.0,2.3,52.0,19,0,0,0,0
intersection_vehicle_heavy,actuated,3,300.0,13.72,31,6.3,45.0,2.0,43.0,19,0,0,0,0
intersection_vehicle_heavy,actuated,4,300.0,13.32,30,6.1,44.0,2.1,46.0,19,0,0,0,0
intersection_vehicle_heavy,actuated,5,300.0,13.647,31,6.2,43.0,2.0,44.0,19,0,0,0,0
intersection_vehicle_heavy,actuated,6,300.0,13.06,30,6.0,43.0,2.1,46.0,19,0,0,0,0
intersection_vehicle_heavy,actuated,7,300.0,13.643,29,6.2,45.0,2.4,51.0,19,0,0,0,0
intersection_vehicle_heavy,actuated,8,300.0,14.147,32,6.4,44.0,2.4,50.0,19,0,0,0,0
intersection_vehicle_heavy,actuated,9,300.0,13.883,31,6.3,44.0,2.4,51.0,19,0,0,0,0
intersection_vehicle_heavy,actuated,10,300.0,13.973,32,6.3,45.0,2.1,43.0,19,0,0,0,0
intersection_vehicle_heavy,actuated,11,300.0,12.593,29,5.9,45.0,2.2,45.0,19,0,0,0,0
intersection_vehicle_heavy,actuated,12,300.0,13.993,32,6.3,44.0,2.1,46.0,19,0,0,0,0
intersection_vehicle_heavy,actuated,13,300.0,13.327,30,6.0,44.0,2.1,45.0,19,0,0,0,0
intersection_vehicle_heavy,actuated,14,300.0,13.447,30,6.0,44.0,2.1,44.0,19,0,0,0,0
intersection_vehicle_heavy,actuated,15,300.0,12.587,28,5.8,44.0,1.9,45.0,19,0,0,0,0
intersection_vehicle_heavy,actuated,16,300.0,13.267,31,6.1,45.0,2.1,43.0,19,0,0,0,0
intersection_vehicle_heavy,actuated,17,300.0,13.687,31,6.3,47.0,2.1,47.0,19,0,0,0,0
intersection_vehicle_heavy,actuated,18,300.0,13.813,32,6.2,45.0,2.1,45.0,19,0,0,0,0
intersection_vehicle_heavy,actuated,19,300.0,13.367,31,6.1,45.0,2.3,50.0,19,0,0,0,0
intersection_vehicle_heavy,adaptive_only,0,300.0,4.91,12,1.9,31.0,10.4,101.0,18,0,0,0,0
intersection_vehicle_heavy,adaptive_only,1,300.0,4.483,14,1.7,32.0,12.9,129.0,17,0,0,0,0
intersection_vehicle_heavy,adaptive_only,2,300.0,4.89,12,1.9,30.0,9.9,101.0,18,0,0,0,0
intersection_vehicle_heavy,adaptive_only,3,300.0,4.997,17,2.0,38.0,13.7,136.0,17,0,0,0,0
intersection_vehicle_heavy,adaptive_only,4,300.0,4.68,12,1.7,30.0,12.9,126.0,17,0,0,0,0
intersection_vehicle_heavy,adaptive_only,5,300.0,4.37,12,1.6,30.0,13.3,125.0,17,0,0,0,0
intersection_vehicle_heavy,adaptive_only,6,300.0,4.947,13,2.0,31.0,10.1,96.0,18,0,0,0,0
intersection_vehicle_heavy,adaptive_only,7,300.0,4.55,13,1.7,31.0,13.0,127.0,17,0,0,0,0
intersection_vehicle_heavy,adaptive_only,8,300.0,4.843,14,1.9,32.0,12.7,127.0,17,0,0,0,0
intersection_vehicle_heavy,adaptive_only,9,300.0,4.687,13,1.8,31.0,12.9,124.0,17,0,0,0,0
intersection_vehicle_heavy,adaptive_only,10,300.0,5.027,19,2.0,37.0,14.3,136.0,17,0,0,0,0
intersection_vehicle_heavy,adaptive_only,11,300.0,4.917,17,1.8,37.0,12.8,118.0,17,0,0,0,0
intersection_vehicle_heavy,adaptive_only,12,300.0,5.057,17,2.0,40.0,13.9,136.0,17,0,0,0,0
intersection_vehicle_heavy,adaptive_only,13,300.0,4.717,15,1.7,37.0,12.5,107.0,17,0,0,0,0
intersection_vehicle_heavy,adaptive_only,14,300.0,4.313,11,1.6,30.0,13.0,126.0,17,0,0,0,0
intersection_vehicle_heavy,adaptive_only,15,300.0,4.47,13,1.7,32.0,13.0,125.0,17,0,0,0,0
intersection_vehicle_heavy,adaptive_only,16,300.0,4.97,13,1.9,31.0,10.2,101.0,18,0,0,0,0
intersection_vehicle_heavy,adaptive_only,17,300.0,4.58,11,1.8,31.0,10.5,102.0,18,0,0,0,0
intersection_vehicle_heavy,adaptive_only,18,300.0,4.927,14,1.9,31.0,13.2,124.0,17,0,0,0,0
intersection_vehicle_heavy,adaptive_only,19,300.0,5.317,17,2.1,39.0,12.5,119.0,17,0,0,0,0
